"imdbID","Title","Year","AdjBoxOffice"
"tt0382932","Ratatouille",2007,236823661.786161
"tt0348150","Superman Returns",2006,236067639.64113
"tt0351283","Madagascar",2005,235267198.873336
"tt0319262","The Day After Tomorrow",2004,234999935.771318
"tt1408101","Star Trek Into Darkness",2013,233655066.689608
"tt0366548","Happy Feet",2006,233588929.424898
"tt0268380","Ice Age",2002,233057153.817643
"tt0988045","Sherlock Holmes",2009,231404320.531184
"tt0438097","Ice Age: The Meltdown",2006,230520050.109563
"tt0268978","A Beautiful Mind",2001,229385125.347141
"tt0212338","Meet the Parents",2000,227279880.94662
"tt0356910","Mr. & Mrs. Smith",2005,226738610.617958
"tt1637725","Ted",2012,226512633.912562
"tt1277953","Madagascar 3: Europe's Most Wanted",2012,224233000.817377
"tt0319343","Elf",2003,224201488.043478
"tt2245084","Big Hero 6",2014,223620733.963816
"tt1596343","Fast Five",2011,221911003.321137
"tt0372183","The Bourne Supremacy",2004,221650528.916141
"tt1482459","The Lorax",2012,221642508.663756
"tt1229238","Mission: Impossible - Ghost Protocol",2011,221487912.752364
"tt0212985","Hannibal",2001,220247346.481525
"tt0892782","Monsters vs. Aliens",2009,219872912.129055
"tt0398286","Tangled",2010,219059819.008191
"tt0368891","National Treasure",2004,217872394.900525
"tt0264464","Catch Me If You Can",2002,217449467.012602
"tt0386588","Hitch",2005,216382467.736429
"tt0120903","X-Men",2000,215812263.853264
"tt0161081","What Lies Beneath",2000,214154295.116876
"tt1099212","Twilight",2008,211542396.027024
"tt1981115","Thor: The Dark World",2013,210779745.475241
"tt0462538","The Simpsons Movie",2007,209974467.572032
"tt0816711","World War Z",2013,206694866.686961
"tt1872181","The Amazing Spider-Man 2",2014,203922008.634868
"tt0267913","Scooby-Doo",2002,202635391.401038
"tt1216475","Cars 2",2011,202554609.799798
"tt0307453","Shark Tale",2004,202507983.23702
"tt1661199","Cinderella",2015,201873727.523276
"tt0831387","Godzilla",2014,201710927.220395
"tt2379713","Spectre",2015,200568725.803831
"tt0458525","X-Men Origins: Wolverine",2009,199249431.717555
"tt0479952","Madagascar: Escape 2 Africa",2008,198942692.188424
"tt1515091","Sherlock Holmes: A Game of Shadows",2011,197583295.616722
"tt0381061","Casino Royale",2006,197116479.100343
"tt1078912","Night at the Museum: Battle of the Smithsonian",2009,196366579.617023
"tt1772341","Wreck-It Ralph",2012,196255685.558277
"tt0181852","Terminator 3: Rise of the Machines",2003,194333815.76087
"tt0252866","American Pie 2",2001,193505905.389503
"tt0486946","Wild Hogs",2007,192992925.932327
"tt0275847","Lilo & Stitch",2002,192847520.014826
"tt2294449","22 Jump Street",2014,192665594.161184
"tt1155076","The Karate Kid",2010,192659183.450431
"tt0398165","The Longest Yard",2005,192380583.646296
"tt1291150","Teenage Mutant Ninja Turtles",2014,192163075.657895
"tt0454921","The Pursuit of Happyness",2006,191922991.028238
"tt0232500","The Fast and the Furious",2001,191490218.875029
"tt0800369","Thor",2011,191448482.369522
"tt0481499","The Croods",2013,191172327.291497
"tt0443272","Lincoln",2012,188795068.15585
"tt0120667","Fantastic Four",2005,188238126.493684
"tt1104001","TRON: Legacy",2010,187749974.359112
"tt0130623","Dinosaur",2000,187350467.211925
"tt1318514","Rise of the Planet of the Apes",2011,186900258.755218
"tt0458339","Captain America: The First Avenger",2011,186794486.113025
"tt0295701","xXx",2002,186630898.999259
"tt1403865","True Grit",2010,186549945.470122
"tt0830515","Quantum of Solace",2008,186121940.914059
"tt1409024","Men in Black 3",2012,185479238.199216
"tt1190080","2012",2009,184169897.653233
"tt0304669","The Santa Clause 2",2002,184117796.886583
"tt0327084","Over the Hedge",2006,182952420.721875
"tt1041829","The Proposal",2009,181730561.260475
"tt0478970","Ant-Man",2015,180893315.264517
"tt0242653","The Matrix Revolutions",2003,179852520.108696
"tt1454029","The Help",2011,179496173.801701
"tt0308353","Happily N'Ever After",2006,179293372.307438
"tt0349205","Cheaper by the Dozen",2003,179076736.413043
"tt0172156","Bad Boys II",2003,178947439.130435
"tt1478338","Bridesmaids",2011,178861537.948542
"tt2224026","Home",2015,178082542.330329
"tt0800320","Clash of the Titans",2010,178040649.711836
"tt1646971","How to Train Your Dragon 2",2014,177891550.164474
"tt1375670","Grown Ups",2010,176731527.287484
"tt0190332","Crouching Tiger, Hidden Dragon",2000,176435506.364032
"tt0415306","Talladega Nights: The Ballad of Ricky Bobby",2006,174926120.974077
"tt1302011","Kung Fu Panda 2",2011,174736404.903011
"tt0181689","Minority Report",2002,174462194.032617
"tt0146316","Lara Croft: Tomb Raider",2001,174020935.749588
"tt0305224","Anger Management",2003,172999764.130435
