"imdbID","Title","Year","BoxOffice"
"tt0366548","Happy Feet",2006,197900000
"tt0213149","Pearl Harbor",2001,197800000
"tt0438097","Ice Age: The Meltdown",2006,195300000
"tt0351283","Madagascar",2005,193100000
"tt2294449","22 Jump Street",2014,191700000
"tt1216475","Cars 2",2011,191500000
"tt1099212","Twilight",2008,191400000
"tt1291150","Teenage Mutant Ninja Turtles",2014,191200000
"tt0120912","Men in Black II",2002,190400000
"tt1772341","Wreck-It Ralph",2012,189400000
"tt0172495","Gladiator",2000,187300000
"tt0481499","The Croods",2013,187200000
"tt1515091","Sherlock Holmes: A Game of Shadows",2011,186800000
"tt0319262","The Day After Tomorrow",2004,186600000
"tt0356910","Mr. & Mrs. Smith",2005,186100000
"tt0240772","Ocean's Eleven",2001,183300000
"tt0462538","The Simpsons Movie",2007,1.83e+08
"tt0443272","Lincoln",2012,182200000
"tt0207201","What Women Want",2000,181500000
"tt0800369","Thor",2011,1.81e+08
"tt0478970","Ant-Man",2015,180200000
"tt0163025","Jurassic Park III",2001,180100000
"tt0479952","Madagascar: Escape 2 Africa",2008,1.8e+08
"tt0458525","X-Men Origins: Wolverine",2009,179700000
"tt1409024","Men in Black 3",2012,1.79e+08
"tt0133152","Planet of the Apes",2001,178100000
"tt0386588","Hitch",2005,177600000
"tt2224026","Home",2015,177400000
"tt1078912","Night at the Museum: Battle of the Smithsonian",2009,177100000
"tt1646971","How to Train Your Dragon 2",2014,1.77e+08
"tt1318514","Rise of the Planet of the Apes",2011,176700000
"tt0458339","Captain America: The First Avenger",2011,176600000
"tt1155076","The Karate Kid",2010,176600000
"tt0268380","Ice Age",2002,176200000
"tt0372183","The Bourne Supremacy",2004,1.76e+08
"tt0319343","Elf",2003,173400000
"tt0368891","National Treasure",2004,1.73e+08
"tt1104001","TRON: Legacy",2010,172100000
"tt1403865","True Grit",2010,1.71e+08
"tt0268978","A Beautiful Mind",2001,170700000
"tt1454029","The Help",2011,169700000
"tt2510894","Hotel Transylvania 2",2015,169700000
"tt1478338","Bridesmaids",2011,169100000
"tt0830515","Quantum of Solace",2008,168400000
"tt0486946","Wild Hogs",2007,168200000
"tt0381061","Casino Royale",2006,1.67e+08
"tt1190080","2012",2009,166100000
"tt1302011","Kung Fu Panda 2",2011,165200000
"tt0212338","Meet the Parents",2000,164500000
"tt0264464","Catch Me If You Can",2002,164400000
"tt0212985","Hannibal",2001,163900000
"tt1041829","The Proposal",2009,163900000
"tt0800320","Clash of the Titans",2010,163200000
"tt1853728","Django Unchained",2012,162800000
"tt0454921","The Pursuit of Happyness",2006,162600000
"tt1375670","Grown Ups",2010,1.62e+08
"tt1667889","Ice Age: Continental Drift",2012,161300000
"tt0307453","Shark Tale",2004,160800000
"tt2404463","The Heat",2013,159600000
"tt0398165","The Longest Yard",2005,157900000
"tt0120903","X-Men",2000,156200000
"tt1735898","Snow White and the Huntsman",2012,155100000
"tt0161081","What Lies Beneath",2000,1.55e+08
"tt0327084","Over the Hedge",2006,1.55e+08
"tt1013752","Fast & Furious",2009,1.55e+08
"tt0120667","Fantastic Four",2005,154500000
"tt0451079","Horton Hears a Who!",2008,154400000
"tt0267913","Scooby-Doo",2002,153200000
"tt1000774","Sex and the City",2008,152600000
"tt0308353","Happily N'Ever After",2006,151900000
"tt1840309","Divergent",2014,150800000
"tt1723121","We're the Millers",2013,150400000
"tt0181852","Terminator 3: Rise of the Machines",2003,150300000
"tt1046173","G.I. Joe: The Rise of Cobra",2009,150200000
"tt1528854","Daddy's Home",2015,149300000
"tt0448694","Puss in Boots",2011,149200000
"tt1707386","Les Misérables",2012,148800000
